ID_Processo;Data_Registro;Data_Desembaraco;Importador;Exportador;NCM;Descricao_Mercadoria;Pais_Origem;Modal_Transporte;Porto_Entrada;Valor_Mercadoria_USD;Valor_Frete_USD;Valor_Seguro_USD;Taxa_Cambio;Valor_Aduaneiro_BRL;II_Valor_BRL;IPI_Valor_BRL;PIS_Valor_BRL;COFINS_Valor_BRL;Canal_Parametrizacao
202400001;2025-04-06;2025-04-17;Guerra;Azevedo Exporters;85171231;Celulares smartphones;Alemanha;Aéreo;Fronteira de Foz do Iguaçu (PR);35726.22;4815.24;557.09;4.9134;201933.62;30984.05;20773.32;4240.61;19486.59;Verde
202400002;2024-01-17;2024-02-04;Lima;Rocha S.A. Exporters;39269090;Outras obras de plástico;Argentina;Marítimo;Aeroporto de Guarulhos (SP);120837.75;10012.91;2221.08;5.4214;721435.13;95210.34;53839.32;15150.14;69618.49;Amarelo
202400003;2024-09-13;2024-09-29;Moreira;Nascimento da Cruz - ME Exporters;90189099;Outros instrumentos e aparelhos para medicina;Coreia do Sul;Aéreo;Aeroporto de Guarulhos (SP);123314.03;7007.88;1741.09;5.1673;682409.14;119522.29;38196.66;14330.59;65852.48;Verde
202400004;2023-11-26;2023-12-08;Lopes;Alves Exporters;84713019;Outros computadores portáteis (laptops);Argentina;Marítimo;Fronteira de Foz do Iguaçu (PR);140516.94;13261.58;2411.04;5.0596;790256.70;124193.59;74465.60;16595.39;76259.77;Verde
202400005;2025-08-15;2025-08-20;da Cunha Ltda.;Mendonça Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Itália;Rodoviário;Porto de Paranaguá (PR);23285.01;2434.05;359.04;4.9535;129177.87;14076.94;11632.49;2712.74;12465.66;Verde
202400006;2023-11-01;2023-11-10;Caldeira;da Mota Martins e Filhos Exporters;30049099;Outros medicamentos;Estados Unidos;Aéreo;Porto de Santos (SP);109518.25;14630.74;2125.50;4.9196;621219.98;82240.61;41778.48;13045.62;59947.73;Verde
202400007;2025-02-16;2025-02-27;Cunha e Filhos;Pires Costela Ltda. Exporters;62044200;Vestidos de algodão;China;Marítimo;Aeroporto de Guarulhos (SP);26920.96;2856.40;340.28;5.1715;155753.38;27970.37;12500.93;3270.82;15030.20;Amarelo
202400008;2025-05-12;2025-05-31;Araújo da Rosa Ltda.;Vasconcelos Exporters;84713019;Outros computadores portáteis (laptops);Estados Unidos;Marítimo;Fronteira de Foz do Iguaçu (PR);90772.14;7873.35;591.95;5.0417;500325.40;87340.07;41906.87;10506.83;48281.40;Verde
202400009;2025-07-04;2025-07-13;Correia - EI;Garcia Exporters;84713019;Outros computadores portáteis (laptops);Coreia do Sul;Rodoviário;Fronteira de Foz do Iguaçu (PR);28021.64;3874.45;348.91;5.1742;166842.08;29426.10;9073.03;3503.68;16100.26;Verde
202400010;2025-09-17;2025-09-26;da Conceição Pastor - ME;Barbosa Exporters;22042100;Vinhos em recipientes de capacidade não superior a 2 litros;Japão;Marítimo;Porto de Paranaguá (PR);142377.87;16761.73;2288.25;4.8929;789850.33;136453.88;68666.64;16586.86;76220.56;Verde
202400011;2024-04-17;2024-04-24;Moreira;Pacheco Exporters;84713019;Outros computadores portáteis (laptops);México;Aéreo;Porto de Paranaguá (PR);46273.13;5833.09;476.50;5.3272;280118.67;38426.02;21023.66;5882.49;27031.45;Verde
